Output,thumb0_X,thumb0_Y,thumb0_Z,thumb1_X,thumb1_Y,thumb1_Z,thumb2_X,thumb2_Y,thumb2_Z,thumb3_X,thumb3_Y,thumb3_Z,index1_X,index1_Y,index1_Z,index2_X,index2_Y,index2_Z,index3_X,index3_Y,index3_Z,middle1_X,middle1_Y,middle1_Z,middle2_X,middle2_Y,middle2_Z,middle3_X,middle3_Y,middle3_Z,ring1_X,ring1_Y,ring1_Z,ring2_X,ring2_Y,ring2_Z,ring3_X,ring3_Y,ring3_Z,pinky0_X,pinky0_Y,pinky0_Z,pinky1_X,pinky1_Y,pinky1_Z,pinky2_X,pinky2_Y,pinky2_Z,pinky3_X,pinky3_Y,pinky3_Z,roothand_X,roothand_Y,roothand_Z,roothand_RotateX,roothand_RotateY,roothand_RotateZ,thumb0_RotateX,thumb0_RotateY,thumb0_RotateZ,thumb1_RotateX,thumb1_RotateY,thumb1_RotateZ,thumb2_RotateX,thumb2_RotateY,thumb2_RotateZ,thumb3_RotateX,thumb3_RotateY,thumb3_RotateZ,index1_RotateX,index1_RotateY,index1_RotateZ,index2_RotateX,index2_RotateY,index2_RotateZ,index3_RotateX,index3_RotateY,index3_RotateZ,middle1_RotateX,middle1_RotateY,middle1_RotateZ,middle2_RotateX,middle2_RotateY,middle2_RotateZ,middle3_RotateX,middle3_RotateY,middle3_RotateZ,ring1_RotateX,ring1_RotateY,ring1_RotateZ,ring2_RotateX,ring2_RotateY,ring2_RotateZ,ring3_RotateX,ring3_RotateY,ring3_RotateZ,pinky0_RotateX,pinky0_RotateY,pinky0_RotateZ,pinky1_RotateX,pinky1_RotateY,pinky1_RotateZ,pinky2_RotateX,pinky2_RotateY,pinky2_RotateZ,pinky3_RotateX,pinky3_RotateY,pinky3_RotateZ,
1,-0.01384246,0.01491809,0.0157249,-0.02771854,0.03439689,0.02347043,-0.05152154,0.04773235,0.04183289,-0.07018429,0.05912209,0.06810883,-0.01086867,0.0680263,0.07283863,-0.03551972,0.06699991,0.1022172,-0.05657989,0.05626297,0.1089657,0.00355345,0.0527153,0.08110783,-0.01830959,0.05979419,0.1179499,-0.04250395,0.05271959,0.1298308,0.008450031,0.03267717,0.08523777,0.0007207394,0.04410958,0.1221906,-0.02331626,0.04076409,0.1337467,0.004653931,-0.002495289,0.04233226,0.009490609,0.01063132,0.08633885,0.01750869,0.02061653,0.1146519,0.0003668666,0.02148867,0.125944,0,0,0,310.3064,225.4346,56.68254,18.92999,234.0272,55.00048,50.73119,250.5061,39.83798,39.08791,251.2982,25.42211,49.22286,247.326,6.162483,312.8812,231.6519,357.7469,310.0358,233.069,317.2369,310.9729,238.0268,299.6587,307.6375,226.9412,15.48361,306.1803,227.1857,334.5287,300.0848,234.2923,305.3372,299.6797,226.0901,35.82587,295.236,221.1108,343.0269,291.4985,217.2865,308.7844,286.5134,186.8556,89.44176,290.4197,220.1058,67.07036,282.1397,201.9803,11.64811,282.5573,177.4869,352.4342,
2,-0.01777315,0.006033182,0.01758263,-0.03860189,0.01605296,0.02746838,-0.06587324,0.02655602,0.04255345,-0.09270197,0.0431335,0.05573851,-0.03573495,0.05336452,0.0769833,-0.04286046,0.06307459,0.1134081,-0.05222993,0.05937219,0.1358328,-0.01491487,0.04715538,0.0832102,-0.02481019,0.05213118,0.1251955,-0.04096703,0.03316712,0.1376815,-0.0004142523,0.03214574,0.08585551,-0.008228421,0.0345335,0.1244455,-0.02684516,0.01655388,0.1317029,0.009403527,-7.939339E-05,0.04161102,0.01144198,0.01349831,0.08569929,0.003460348,0.01277184,0.1157224,-0.01305461,0.0005810261,0.1165894,0,0,0,334.0952,245.4812,33.72411,41.14223,227.7031,31.95643,63.85702,252.3112,46.45239,51.11637,249.6181,50.58558,62.59623,256.7879,62.74972,335.1634,251.9764,16.1946,332.1418,251.9421,350.1923,331.0731,255.5945,337.0031,329.3962,252.826,7.650866,327.9424,253.2625,306.5867,324.2295,261.3524,273.8915,322.5643,255.8918,4.372252,317.4659,256.9384,294.8054,313.9286,259.6302,255.3957,305.1406,246.7364,30.71685,312.6393,256.5674,358.0224,306.4847,268.4033,273.7029,301.3465,270.7361,233.3369,
3,-0.02063811,0.01170886,0.009919912,-0.04450464,0.01923096,0.01232177,-0.06883144,0.02478325,0.03374544,-0.08993314,0.03747356,0.05745456,-0.05872533,0.07946694,0.01695621,-0.07993715,0.09085143,0.04682723,-0.08652391,0.08127511,0.06848988,-0.03784925,0.08624423,0.02234685,-0.05704349,0.1198031,0.04211625,-0.07100825,0.1253356,0.06558862,-0.01987547,0.08324611,0.0328593,-0.02811128,0.1210397,0.04058984,-0.04108924,0.1365029,0.05833742,0.004205287,0.03359997,0.0259476,-0.002982259,0.07521451,0.04462495,-0.001899064,0.1061684,0.04713425,-0.007524282,0.1221963,0.05869183,0,0,0,14.21532,243.1081,69.01505,68.8683,311.5218,123.9062,52.87751,28.28996,163.7554,57.65477,9.180169,136.0605,55.10775,27.61242,134.4294,25.56666,243.1702,19.20532,22.58559,242.9549,335.046,22.32544,246.5868,323.5859,13.23814,242.4951,52.55678,11.9873,241.7147,11.70984,5.93173,240.6421,359.7121,5.03821,240.3435,74.12038,3.160093,236.0491,35.18057,3.402058,232.3802,16.63268,349.9029,227.2253,66.26013,355.8152,237.3843,87.17834,350.2141,231.6278,52.33881,354.243,227.7372,37.36334,
4,-0.01963967,0.009501696,0.01361746,-0.04216565,0.01952481,0.01852462,-0.06750666,0.02199626,0.039341,-0.08763452,0.02883363,0.06610975,-0.04735035,0.07211566,0.05107293,-0.06804629,0.07303023,0.08336332,-0.07802182,0.05454564,0.0961369,-0.02650206,0.07138205,0.05976841,-0.03933215,0.09688568,0.0924854,-0.05467789,0.09088206,0.1149585,-0.01064327,0.06039071,0.06814972,-0.01251732,0.09002876,0.09411147,-0.0259755,0.09350181,0.1171186,0.006126702,0.01607776,0.03903687,0.003222615,0.04468179,0.07517073,0.007574439,0.06711817,0.09622541,0.001594529,0.07286191,0.1150234,0,0,0,350.7344,237.3985,49.62672,59.73653,240.4543,52.28975,81.69425,8.322843,148.6537,77.66819,302.1012,69.48412,83.88997,1.46979,112.6978,357.6595,237.287,1.367208,354.77,238.0044,310.9702,355.9952,241.0671,292.5714,347.3907,239.2444,37.00346,345.9634,238.8346,347.1694,339.4137,240.8262,327.6517,339.0452,240.0188,53.57005,335.6545,236.2942,8.153271,333.8041,232.651,345.2815,322.8542,228.7007,50.99623,328.2158,241.3897,58.1455,320.4389,238.4349,21.26102,321.9697,231.5783,7.707839,
5,-0.01414531,0.01892567,0.01015696,-0.02469636,0.0415976,0.01272985,-0.05078584,0.05780721,0.02448502,-0.07366177,0.06858385,0.04748514,-0.0169154,0.07477832,0.06460068,-0.04946162,0.0819478,0.08360514,-0.07209674,0.07383525,0.07848677,-0.00996238,0.05741763,0.07729164,-0.02700403,0.07642651,0.1124155,-0.05373277,0.07849729,0.1200222,-0.01156098,0.03722656,0.08297715,-0.01614726,0.05250299,0.1190541,-0.03763814,0.05977285,0.1334696,-0.009786963,0.0002031326,0.04152206,-0.01621343,0.01568127,0.08455011,-0.01749672,0.02272177,0.1147892,-0.03074585,0.02713549,0.1298589,0,0,0,306.5056,189.3535,78.14592,11.11934,217.9264,66.7989,43.89999,237.2878,43.15939,32.6315,237.4365,21.98453,42.0984,233.093,357.0739,308.6898,196.5407,17.3949,305.718,196.3476,325.5794,306.2777,201.8078,300.8754,301.0716,190.2102,58.01889,299.8911,188.4375,8.575192,292.8752,186.8825,348.5824,293.072,182.3018,81.20451,292.0689,169.99,46.04184,292.7589,160.1504,28.96574,293.9084,134.8666,124.2124,283.7931,158.9302,108.1379,282.8427,123.4362,104.878,288.3698,125.814,85.41853,
6,-0.0212478,0.01176929,0.008452654,-0.04523727,0.01924062,0.009257883,-0.07014407,0.0249263,0.02996826,-0.09244561,0.03750563,0.05261448,-0.05987656,0.07948375,0.0121778,-0.08282004,0.08911943,0.04137671,-0.09011047,0.07903409,0.06257796,-0.03939563,0.08640456,0.01876843,-0.06023353,0.119982,0.03676224,-0.07585505,0.1270735,0.05872256,-0.02210575,0.08360934,0.030422,-0.0303598,0.1218698,0.03531536,-0.04401606,0.1392787,0.05057847,0.002488971,0.03395832,0.02570111,-0.005959481,0.07579398,0.043327,-0.003558517,0.1067753,0.0431661,-0.00846827,0.1244421,0.05243385,0,0,0,14.73751,239.682,69.62973,68.49693,309.7341,125.8298,52.26776,26.63289,163.5904,57.1042,7.713939,137.345,54.3125,25.84385,136.2737,27.09238,239.4688,16.38661,24.10348,239.4128,333.2923,23.9262,243.1086,322.9469,14.24542,238.8482,52.92258,13.00559,238.0582,15.13958,7.269363,236.6396,5.595687,6.239116,236.505,77.35373,4.639698,232.1359,40.52501,5.382431,228.5674,24.21277,350.5689,223.5719,66.69464,356.5906,233.9201,92.84807,351.6343,227.7447,60.35881,356.2104,224.52,46.90085,
7,0.002535149,0.02236664,0.01243937,0.0121365,0.04465353,0.01900214,0.02131532,0.07424784,0.03002605,0.02063487,0.09974754,0.05278018,0.02718638,0.05686629,0.07796344,0.02459358,0.07387054,0.1122557,0.008429781,0.09205973,0.1157556,0.01510614,0.03996336,0.08686051,0.009016663,0.06006289,0.1248654,-0.009709805,0.08048272,0.1218778,-0.002385616,0.02828014,0.08717355,-0.01028396,0.04678619,0.1211012,-0.02554585,0.06879437,0.1188146,-0.01728699,0.005720496,0.03857908,-0.02162054,0.0183239,0.08279058,-0.02982128,0.03446651,0.108045,-0.03974007,0.05245733,0.1077965,0,0,0,322.6007,118.6271,151.1267,337.296,198.9493,106.0501,334.4386,229.1237,85.93987,326.5175,220.4765,63.43264,335.1572,224.1811,28.87833,316.2102,113.9699,142.1214,318.0418,110.7932,84.24271,315.1595,109.4812,51.57636,319.164,107.7258,142.2791,319.9308,106.0088,73.23898,316.5675,95.15139,39.63473,322.4041,101.0407,143.6924,325.8825,96.42101,81.48704,327.5289,91.84752,39.66555,338.7008,90.74919,162.9678,329.2219,93.23898,142.7971,331.2269,83.26814,92.55523,336.4485,81.96404,57.90273,
8,-0.01888107,0.01577854,0.007481605,-0.0345131,0.03546548,0.007305533,-0.06434993,0.04901052,0.01011494,-0.09365208,0.06335902,0.02031061,-0.03879343,0.07332587,0.05629876,-0.05081448,0.0909791,0.08816859,-0.07135965,0.09248853,0.1015842,-0.02911358,0.05908203,0.07093474,-0.04300743,0.07858825,0.1071551,-0.06857064,0.07809615,0.118239,-0.02650945,0.03956318,0.07833698,-0.04191242,0.05510402,0.1111574,-0.06670253,0.05705833,0.1213627,-0.01293206,0.001000881,0.04064068,-0.0262219,0.01770735,0.08158645,-0.04121976,0.02844214,0.1065954,-0.0598167,0.03077197,0.1150121,0,0,0,314.5667,199.1097,59.9101,22.72977,211.1929,58.11037,55.76435,226.9973,47.05952,43.86956,225.5819,35.60957,54.87966,224.6369,25.11513,309.8913,211.015,45.847,307.3375,208.518,5.810566,305.6845,213.2226,341.2883,306.4331,206.0772,49.15001,305.1228,204.8798,358.2412,298.0771,206.3188,335.2325,301.777,201.0735,48.4291,298.2409,194.5742,8.839275,296.3823,187.2794,348.3415,291.2366,165.1488,87.08282,295.5278,188.6219,53.28461,287.7207,183.4226,21.87409,289.895,167.4442,20.77666,
9,-0.01460837,0.01680326,0.01287168,-0.02784097,0.03764701,0.01760378,-0.0527624,0.04853511,0.03609613,-0.0722772,0.05699801,0.06285438,-0.01512907,0.07306719,0.0669587,-0.04522578,0.07531524,0.09064326,-0.06692775,0.06377101,0.0909833,-0.00315547,0.05734324,0.07792184,-0.01504277,0.07573843,0.1154152,-0.03863807,0.07580042,0.130242,-0.0004120022,0.03731346,0.08373895,0.000118047,0.05380702,0.1195668,-0.01802516,0.059129,0.1386722,-0.001199484,-0.0001422167,0.04264328,-0.001232997,0.01536167,0.08613935,0.00173457,0.02387738,0.1158765,-0.008716181,0.02714193,0.1332615,0,0,0,310.3016,211.3367,64.99974,17.74797,228.0171,60.52714,53.1567,244.4978,33.51284,41.69197,247.0527,19.36242,52.15177,241.2538,7.379401,315.8764,214.9374,4.682281,312.9491,215.7445,316.4329,313.9466,220.3423,296.6522,306.3889,213.0181,45.56826,305.0486,211.9627,0.2218115,298.3345,212.6089,341.7829,297.9017,210.4707,63.31991,295.4317,201.3425,27.45517,294.9953,192.5318,11.16374,290.0955,166.8917,102.2948,286.6228,203.0552,73.32797,280.6041,179.7168,59.70343,285.4215,167.0496,55.9843,
10,-0.02049638,0.0087533,0.01283395,-0.04445575,0.01464593,0.01764947,-0.06681897,0.01585984,0.04173285,-0.08631116,0.02363873,0.06871411,-0.06051441,0.07230067,0.03408533,-0.08079518,0.07697105,0.06631425,-0.08674705,0.06450033,0.08664688,-0.03963797,0.0788734,0.03972226,-0.05957313,0.1064746,0.06667042,-0.07284075,0.1083982,0.09110078,-0.021053,0.07477379,0.04868618,-0.03074789,0.1093566,0.06499541,-0.0432211,0.1206591,0.08595213,0.004359439,0.02836967,0.03156042,-0.00330615,0.06545329,0.05798656,-0.002778828,0.0950644,0.06739533,-0.007819146,0.1081455,0.08241513,0,0,0,11.41478,243.4532,58.14263,76.36188,287.7953,96.2522,60.05298,43.44515,175.7597,66.74356,21.21215,144.8054,61.83364,43.86414,153.8073,23.06251,240.8122,7.60328,20.09591,241.2473,327.3056,20.28949,244.8337,316.0446,10.92139,242.6496,40.34452,9.547358,242.1614,4.013967,3.478332,241.9032,352.9155,1.801172,242.5569,61.30109,359.0739,238.8101,24.86916,358.6765,235.1627,6.75358,344.6861,232.172,56.37098,350.7206,242.3172,74.91571,344.083,237.8306,41.45818,347.3527,233.1661,27.49457,
